id,joke
en_2001,"Panamanian lawmakers’ Taiwan trip sparks diplomatic row with China, which is hilarious because most politicians can’t even manage a layover without causing a scandal, and now their frequent-flyer miles are more stable than their foreign policy."
en_2002,"Isn’t it funny how football clubs are like people at a sale—Carra says “Liverpool must sign in January - even after summer spending spree,” like they’ve just blown thousands on clothes and gone, “Yeah, but I don’t *feel* like a title contender yet.”"
en_2003,"Experts warn of health threat posed by ultra-processed foods, which is shocking, because I always assumed the real danger was my gym membership automatically renewing."
en_2004,"Amazing how at Dick Cheney’s funeral, George W. Bush giving the eulogy still wasn’t the most uncomfortable thing Cheney ever made someone else do."
en_2005,"Isn’t it funny how in sports they say there’s ""No place for Mostert distraction in South Africa team,"" like the real problem is one guy’s focus and not the 60 million armchair coaches yelling at their TVs in perfect tactical hindsight?"
en_2006,"It’s funny how football fame works—“Meet Troy - the parrot named after Ireland’s hat-trick hero,” and now there’s a bird getting more interviews for screaming “OFFSIDE!” than most pundits do for explaining it."
en_2007,"Isn’t it funny that “Instagram to start closing Australian teen accounts ahead of social media ban” sounds less like a news headline and more like every parent’s dream excuse to finally say, “Sorry mate, it’s not me taking your phone—it’s government policy”?"
en_2008,They tried to regulate AI the way they regulate everything in the EU—by writing a 900‑page rulebook that no human can understand and then acting surprised when the only thing that can comply is the AI they were trying to control.
en_2009,You ever notice how “Silent City” sounds peaceful until you stay in one of only two hotels in Malta’s Silent City and realize the silence is just you awkwardly whispering your complaints because everyone can hear everything?
en_2010,"Isn’t it funny how in Ireland, “bringing back Bundee Aki for clash with Springboks in Dublin” sounds less like a rugby decision and more like someone calling their toughest friend to help move a couch… that keeps tackling them?"
en_2011,"Yes, it’s okay if you don’t love your partner all the time—modern relationships are 10% butterflies, 20% shared memes, and 70% politely not committing homicide while they chew loudly next to you."
en_2012,"Isn’t it funny how “Why footballer Troy Parrott is taking the classic Hero's Journey” sounds epic, but in modern football the big dragon he has to slay is just a really passive-aggressive post-match interview?"
en_2013,"Apparently Gen Z are earning six figures as “professional quiet quitters,” which is where companies pay them consulting fees just to explain why no one wants a normal job anymore."
en_2014,"Isn’t it funny how in Hollywood you need “range” to be taken seriously, but when ‘Kim Kardashian had no pretensions that she was a great actress’: Glenn Close hits back at zero-star All’s Fair reviews, suddenly honesty gets worse ratings than the show?"
en_2015,Turns out “fibermaxxing” just means eating enough vegetables that your gut bacteria start writing you thank‑you notes and scheduling reasonable bathroom appointments.
en_2016,"Host Brazil said it’s pushing for progress on big issues at COP30, which is why negotiators were surprised to find the main proposal was just “teach cows to hold their breath.” Still, some see cause for optimism, because honestly, it’s the first climate plan that didn’t immediately get watered down—just slightly moo-ted."
